Station	Famille de polluant	Polluant	Mesure	Unité	janv-04	févr-04	mars-04	avr-04	mai-04	juin-04	juil-04	août-04	sept-04	oct-04	nov-04	déc-04	janv-05	févr-05	mars-05	avr-05	mai-05	juin-05	juil-05	août-05	sept-05	oct-05	nov-05	déc-05	janv-06	févr-06	mars-06	avr-06	mai-06	juin-06	juil-06	août-06	sept-06	oct-06	nov-06	déc-06	janv-07	févr-07	mars-07	avr-07	mai-07	juin-07	juil-07	août-07	sept-07	oct-07	nov-07	déc-07	janv-08	févr-08	mars-08	avr-08	mai-08	juin-08	juil-08	août-08	sept-08	oct-08	nov-08	déc-08	janv-09	févr-09	mars-09	avr-09	mai-09	juin-09	juil-09	août-09	sept-09	oct-09	nov-09	déc-09	janv-10	févr-10	mars-10	avr-10	mai-10	juin-10	juil-10	août-10	sept-10	oct-10	nov-10	déc-10	janv-11	févr-11	mars-11	avr-11	mai-11	juin-11	juil-11	août-11	sept-11	oct-11	nov-11	déc-11	janv-12	févr-12	mars-12	avr-12	mai-12	juin-12	juil-12	août-12	sept-12	oct-12	nov-12	déc-12	janv-13	févr-13	mars-13	avr-13	mai-13	juin-13	juil-13	août-13	sept-13	oct-13	nov-13	déc-13	janv-14	févr-14	mars-14	avr-14	mai-14	juin-14	juil-14	août-14	sept-14	oct-14	nov-14	déc-14	janv-15	févr-15	mars-15	avr-15	mai-15	juin-15	juil-15	août-15	sept-15	oct-15	nov-15	déc-15
Grenoble les Frenes	En différé, métaux lourds	Arsenic	Arsenic	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,8	1	0,7	0,7	0,4	0,4	0,6	0,4	0,4	0,8	0,9	1,3	1,2	1,5	0,7	0,4	1,1	1	0,4	0,3	-	-	0,9	0,7	1	0,5	0,4	0,4	0,3	0,2	0,2	0,3	0,8	0,6	0,7	0,5	0,7	0,9	0,4	0,6	0,4	0,3	0,4	0,2	0,5	0,6	0,5	0,9	1,7	1,1	0,5	0,5	0,4	0,4	0,3	0,3	0,3	0,6	1,4	0,8	0,9	1,5	0,6	0,4	0,3	0,3	0,3	0,3	0,6	0,5	0,7	0,6	0,8	1,1	0,6	0,4	0,3	0,3	0,3	0,3	0,4	0,4	0,9	1,1	0,64	0,38	0,62	0,41	0,24	0,43	0,25	0,33	0,43	0,49	0,57	0,65	0,58	0,61	0,44	0,53	0,32	0,28	0,36	0,3	0,31	0,61	0,95	1,29
Grenoble les Frenes	Métaux lourds	Baryum	Baryum	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39,8	19,7	15	7,6	3,2	3,4	4,8	4,9	-	-	6,5	7,6	6,7	5,5	4,6	4,1	4,5	3,8	4,1	5,2	8,2	8,5	10,6	6,2	6,8	5	7,2	7,4	5,5	4,5	6,4	6,4	14,6	10,2	11	20,2	9,4	8,2	16,6	12,7	9,9	8,7	10,1	10,3	11,9	10,5	18,5	24,4	22,8	10,8	19,8	7,5	12,7	11,7	9,5	11,3	15,8	9,6	8,1	6	7	14,2	9,2	13,2	12,6	34,5	16,9	15,3	24,3	35,6	16	37,8	19,56	32,27	19,92	14,43	11,86	20,7	15,84	17,04	11,99	9,38	7,94	11,34	8,47	6,95	8,24	7,56	7,89	8,32	9,5	7,07	7,87	8,8	11,44	17,37
Grenoble les Frenes	Volatil	Benzène	Benzène	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2,4	2,1	1,5	0,8	0,7	0,6	0,5	0,5	0,7	1,5	1,8	2,7	-	2,4	1,2	0,8	0,7	0,5	0,6	0,5	0,8	1,1	1,1	1,8	2	1,3	1	0,8	0,6	0,6	0,6	0,7	0,9	1	1,6	1,5	1,8	1,9	1,2	0,9	0,7	0,6	0,7	0,7	0,7	1	1,1	1,7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,7	1,8	1,5	0,9	0,6	0,5	0,5	0,7	0,9	1	1,2	1,97	1,49	1,09	1,21	0,73	0,46	0,54	-	0,62	0,65	0,8	1,33	1,56	1,45	1,45	1,19	0,76	0,53	0,43	0,5	0,51	0,5	1,04	1,39	1,92
Grenoble les Frenes	Hydrocarbure	Benzo(a)anthracène	Benzo(a)anthracène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,76	1,12	0,15	-	0,03	0,02	0,05	0,03	0,06	0,3	0,53	1,04	1,28	1,03	0,26	0,13	0,08	0,04	0,01	0,03	0,09	0,18	0,5	0,77	0,77	0,32	0,11	0,01	0,02	0,06	0,03	0,04	0,07	0,14	0,53	0,88	1,27	0,69	0,25	0,07	0,05	0,03	0,13	0,03	0,06	0,14	0,32	0,99	0,78	1,18	0,21	0,05	0,03	0,03	0,02	0,02	0,05	0,18	0,91	0,79	0,94	0,67	0,15	0,1	-	0,05	0,04	0,02	0,05	0,23	0,75	0,79	0,51	0,36	0,13	0,06	0,02	0,01	0,01	0,01	0,1	0,08	0,29	0,88	0,45	0,19	0,06	0,05	0,04	0,01	0,01	0,02	0,02	0,07	0,328	0,368	0,528	0,373	0,109	0,038	0,018	0,008	0,013	0,015	0,022	0,084	0,362	1,094
Grenoble les Frenes	En différé	Benzo(a)pyrène	Benzo(a)Pyrène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,97	1,51	0,26	-	0,05	0,04	0,08	0,06	0,08	0,48	0,8	1,12	1,5	1,43	0,3	0,19	0,09	0,05	0,02	0,04	0,17	0,32	0,84	1,23	1,13	0,56	0,25	0,07	0,03	0,08	0,03	0,03	0,08	0,21	0,78	1,03	1,3	0,78	0,34	0,09	0,06	0,04	0,1	0,03	0,06	0,17	0,43	1,17	0,94	1,27	0,28	0,05	0,03	0,04	0,02	0,03	0,05	0,31	1,17	0,94	1,22	0,65	0,17	0,09	-	0,05	0,04	0,03	0,05	0,29	0,95	0,94	0,93	0,76	0,34	0,13	0,05	0,03	0,02	0,02	0,15	0,13	0,61	1,34	0,94	0,34	0,14	0,07	0,05	0,02	0,03	0,04	0,04	0,17	0,891	0,866	0,892	0,476	0,207	0,052	0,024	0,01	0,015	0,025	0,023	0,203	0,684	1,965
Grenoble les Frenes	Hydrocarbure	Benzo(b)fluoranthène	Benzo(b)fluoranthène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,49	2,21	0,44	-	0,14	0,12	0,15	0,17	0,17	0,74	1,56	1,87	2,01	1,9	0,53	0,31	0,29	0,16	0,06	0,1	0,27	0,55	1,28	1,91	1,63	0,96	0,4	0,15	0,07	0,14	0,06	0,07	0,13	0,3	1,02	1,4	1,89	1,13	0,55	0,18	0,16	0,1	0,28	0,09	0,13	0,3	0,6	1,44	1,2	1,59	0,5	0,15	0,1	0,08	0,07	0,09	0,12	0,39	1,43	1,17	1,65	1,28	0,39	0,22	-	0,16	0,1	0,06	0,12	0,38	1,01	1,13	1,27	1,08	0,55	0,26	0,08	0,08	0,04	0,05	0,25	0,22	0,8	1,62	1,08	0,49	0,3	0,15	0,08	0,03	0,04	0,08	0,08	0,24	0,944	1,053	1,081	0,773	0,359	0,105	0,069	0,031	0,041	0,063	0,056	0,274	0,754	1,904
Grenoble les Frenes	Hydrocarbure	Benzo(j)fluoranthène	Benzo(j)fluoranthène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,71	1,25	0,18	-	0,06	0,03	0,09	0,04	0,07	0,27	0,73	2,18	1,86	0,85	0,45	0,28	0,1	0,11	0,03	0,05	0,12	0,33	0,43	1,84	1,37	0,98	0,25	0,09	0,02	0,06	0,03	0,04	0,08	0,17	0,59	0,79	1,06	0,65	0,3	0,1	0,07	0,05	0,2	0,03	0,06	0,16	0,35	0,94	0,8	1,01	0,31	0,07	0,05	0,04	0,02	0,03	0,06	0,23	0,88	0,75	0,97	0,72	0,21	0,13	-	0,07	0,06	0,03	0,07	0,23	0,73	0,67	0,71	0,62	0,31	0,15	0,04	0,04	0,01	0,02	0,12	0,11	0,42	0,91	0,61	0,25	0,15	0,06	0,05	0,01	0,01	0,04	0,05	0,15	0,524	0,582	0,685	0,601	0,238	0,075	0,047	0,016	0,022	0,035	0,036	0,21	0,573	1,369
Grenoble les Frenes	Hydrocarbure	Benzo(k)fluoranthène	Benzo(k)fluoranthène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,59	0,88	0,16	-	0,05	0,04	0,05	0,05	0,05	0,26	0,55	0,71	0,82	0,7	0,19	0,11	0,08	0,05	0,01	0,03	0,09	0,2	0,47	0,71	0,66	0,35	0,16	0,05	0,03	0,05	0,03	0,03	0,05	0,12	0,44	0,61	0,79	0,48	0,22	0,06	0,05	0,03	0,11	0,02	0,05	0,11	0,26	0,63	0,52	0,63	0,21	0,05	0,03	0,03	0,02	0,03	0,04	0,17	0,6	0,52	0,71	0,51	0,15	0,08	-	0,06	0,03	0,03	0,05	0,16	0,48	0,52	0,49	0,42	0,21	0,09	0,03	0,03	0,01	0,02	0,08	0,08	0,31	0,63	0,42	0,18	0,11	0,05	0,03	0,02	0,02	0,03	0,03	0,09	0,391	0,417	0,49	0,347	0,149	0,043	0,028	0,011	0,018	0,024	0,022	0,121	0,353	0,881
Grenoble les Frenes	En différé, métaux lourds	Cadmium	Cadmium	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,5	0,4	0,2	0,3	0,3	0,2	0,2	0,1	0,2	0,4	0,5	0,9	0,7	0,7	0,2	0,2	0,1	0,1	0,1	0,1	-	-	0,3	0,2	0,4	0,2	0,2	0,1	0,1	0,1	0,1	0,1	0,2	0,2	0,3	0,2	0,2	0,2	0,1	0,2	0,1	0,1	0,2	0,1	0,1	0,2	0,1	0,2	0,3	0,2	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,2	0,2	0,2	0,3	0,1	0,1	0,1	0,1	0,1	0,2	0,1	0,1	0,2	0,2	0,3	0,2	0,2	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,2	0,4	0,13	0,08	0,14	0,1	0,1	0,1	0,13	0,09	0,1	0,21	0,15	0,15	0,28	0,2	0,13	0,07	0,05	0,05	0,06	0,05	0,06	0,14	0,34	0,24
Grenoble les Frenes	Métaux lourds	Chrome	Chrome	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5,7	4,3	4	3,9	2,9	3,5	3	3,2	3,6	4	4,3	7,1	5,8	6,7	5,9	2,3	2,5	2,3	1,9	1,9	-	-	2,7	3	3,4	2,7	2	1,8	1,8	1,7	1,3	1,9	2,9	3,4	4,1	2,6	5	3,4	2,2	4,3	2,5	2,3	2,3	2,8	3,6	4,8	3,9	7,4	4,8	3,6	2,9	4,3	3,5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3,9	2,6	2,3	3,3	2,6	1,3	2	2,1	1,4	1,8	3,3	3,4	3,7	5,9	3,55	3,43	4,2	3,99	3,05	3,83	2,82	2,86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
