Station	Famille de polluant	Polluant	Mesure	Unité	janv-04	févr-04	mars-04	avr-04	mai-04	juin-04	juil-04	août-04	sept-04	oct-04	nov-04	déc-04	janv-05	févr-05	mars-05	avr-05	mai-05	juin-05	juil-05	août-05	sept-05	oct-05	nov-05	déc-05	janv-06	févr-06	mars-06	avr-06	mai-06	juin-06	juil-06	août-06	sept-06	oct-06	nov-06	déc-06	janv-07	févr-07	mars-07	avr-07	mai-07	juin-07	juil-07	août-07	sept-07	oct-07	nov-07	déc-07	janv-08	févr-08	mars-08	avr-08	mai-08	juin-08	juil-08	août-08	sept-08	oct-08	nov-08	déc-08	janv-09	févr-09	mars-09	avr-09	mai-09	juin-09	juil-09	août-09	sept-09	oct-09	nov-09	déc-09	janv-10	févr-10	mars-10	avr-10	mai-10	juin-10	juil-10	août-10	sept-10	oct-10	nov-10	déc-10	janv-11	févr-11	mars-11	avr-11	mai-11	juin-11	juil-11	août-11	sept-11	oct-11	nov-11	déc-11	janv-12	févr-12	mars-12	avr-12	mai-12	juin-12	juil-12	août-12	sept-12	oct-12	nov-12	déc-12	janv-13	févr-13	mars-13	avr-13	mai-13	juin-13	juil-13	août-13	sept-13	oct-13	nov-13	déc-13	janv-14	févr-14	mars-14	avr-14	mai-14	juin-14	juil-14	août-14	sept-14	oct-14	nov-14	déc-14	janv-15	févr-15	mars-15	avr-15	mai-15	juin-15	juil-15	août-15	sept-15	oct-15	nov-15	déc-15
Grenoble les Frenes	Métaux lourds	Cobalt	Cobalt	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,6	0,9	0,6	0,3	0,4	0,4	0,7	0,5	-	-	0,9	0,3	0,5	0,3	0,4	0,3	0,4	0,3	0,2	0,2	0,3	0,3	0,4	0,2	0,3	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,3	0,3	0,6	0,6	0,4	0,3	0,6	0,8	2,4	0,2	0,3	0,3	0,4	0,7	0,5	0,5	0,3	0,5	0,4	0,4	0,5	0,4	0,4	0,4	0,3	0,1	0,1	0,2	0,2	0,2	0,1	0,1	0,1	0,1	0,1	0,2	0,2	0,1	0,3	0,14	0,09	0,18	0,18	0,14	0,25	0,11	0,11	0,16	0,3	0,25	0,21	0,15	0,14	0,2	0,2	0,16	0,23	0,27	0,15	0,28	0,31	0,6	0,54
Grenoble les Frenes	Métaux lourds	Cuivre	Cuivre	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30,8	31,4	9,1	7,5	8	8,5	13,2	9,3	-	-	11,8	11,4	14,7	10,8	9	7,4	7,6	7,2	5,2	8,2	14,9	15,2	18,7	13,2	14,6	11,4	10,6	9,3	8	8,6	14	10,9	13,9	17,9	15	15,1	22,1	23,5	13,7	11,7	9,5	11	7,5	8,5	11,4	17	27	17,9	14,7	12,6	14,3	6,3	7	13	10,2	10	13,6	20,3	23,1	15,4	14,7	11,9	12	19,6	7	9,7	7,8	7,6	13,6	11,4	13	26,3	16,43	11,86	17,48	10,41	6,94	10,07	6,71	8,52	12,23	13,69	14,61	18,58	16,63	14,52	12,57	8,09	7,31	9,09	9,93	8,1	10,73	12,57	24,91	32,01
Grenoble les Frenes	Hydrocarbure	Dibenzo(a,h)anthracène	Dibenzo(a,h)anthracène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,09	0,08	0,03	-	0,01	0,01	0,02	0,02	0,02	0,08	0,18	0,13	0,12	0,09	0,03	0,02	0,01	0,01	0,01	0,01	0,02	0,04	0,09	0,14	0,1	0,13	0,03	0,02	0,01	0,02	0,01	0,01	0,02	0,03	0,07	0,13	0,17	0,07	0,04	0,02	0,01	0,02	0,04	0,01	0,01	0,02	0,05	0,1	0,07	0,1	0,02	0,01	0,01	0,01	0,02	0,01	0,01	0,02	0,05	0,04	0,06	0,05	0,02	0,01	-	0,01	0,01	0,01	0,01	0,03	0,06	0,09	0,18	0,15	0,08	0,03	0,01	0,01	0,01	0,01	0,04	0,04	0,14	0,29	0,16	0,07	0,04	0,02	0,01	0,01	0,01	0,02	0,01	0,04	0,187	0,181	0,073	0,041	0,023	0,008	0,007	0,007	0,007	0,008	0,007	0,02	0,039	0,058
Grenoble les Frenes	En continu	Dioxyde d'azote	Dioxyde d'azote	microg/m3	42	45	36	25	21	20	19	17	25	29	35	42	49	43	41	28	22	21	17	19	25	28	37	40	52	43	34	22	19	18	20	14	24	28	37	41	39	42	27	24	18	17	16	16	21	26	27	35	37	40	24	18	15	15	14	12	18	25	30	40	44	31	26	19	17	13	11	14	18	23	34	34	39	34	30	23	20	14	13	17	19	22	28	37	33	37	22	14	11	10	11	12	20	20	33	31	29	29	24	15	15	14	12	14	22	24	25	33	32	30	27	20	13	14	13	11	17	19	25	36	34	28	27	20	15	16	14	14	20	24	31	27	28	27	23	20	15	15	15	14	16	24	34	36
Grenoble les Frenes	En continu	Dioxyde soufre	Dioxyde de soufre	microg/m3	10	11	6	-	4	2	2	0	1	4	7	11	13	10	9	5	2	1	1	0	1	3	4	11	13	7	5	3	1	2	2	1	1	2	5	7	8	10	4	4	1	1	1	1	1	2	5	6	7	6	3	2	1	1	1	0	1	1	3	5	4	3	2	2	2	1	1	1	0	2	4	3	4	3	2	2	1	1	1	0	1	2	3	5	6	5	2	2	1	1	1	0	0	1	4	3	5	4	1	1	0	1	1	1	1	1	3	3	4	3	2	2	1	0	0	0	1	1	4	8	7	5	5	3	2	1	0	0	1	1	3	3	3	3	2	1	0	0	0	0	0	1	3	5
Grenoble les Frenes	Volatil	EthylBenzene	EthylBenzene	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,4	1,3	0,9	0,7	0,7	0,6	0,6	0,6	0,7	1,1	0,9	1,1	-	1,3	0,6	0,5	0,6	0,5	0,5	0,5	0,7	1	0,6	0,7	0,7	0,5	0,4	0,4	0,4	0,4	0,4	0,5	0,7	0,8	1,1	0,6	0,5	0,5	0,5	0,6	0,4	0,5	0,6	0,5	0,5	0,5	0,4	0,5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,4	0,3	0,3	0,3	0,3	0,3	0,3	0,3	0,4	0,4	0,5	0,81	0,53	0,25	0,51	0,26	0,23	0,31	-	1,74	0,43	0,46	0,5	0,4	0,37	0,4	0,32	0,28	0,28	0,27	0,31	0,24	0,27	0,39	0,7	0,8
Grenoble les Frenes	Hydrocarbure	Indéno(1,2,3-cd)pyrène	Indéno(1,2,3-cd)pyrène	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,07	1,68	0,34	-	0,1	0,09	0,14	0,11	0,12	0,54	0,87	1,25	1,33	1,31	0,27	0,15	0,09	0,07	0,03	0,06	0,17	0,5	1,03	0,87	0,63	0,43	0,27	0,1	0,05	0,12	0,06	0,06	0,12	0,21	0,74	1,13	1,2	0,69	0,35	0,12	0,09	0,06	0,21	0,04	0,07	0,25	0,43	1,03	0,77	0,95	0,31	0,08	0,07	0,05	0,06	0,05	0,09	0,39	1,2	1	1,01	0,87	0,31	0,18	-	0,1	0,07	0,04	0,09	0,29	0,85	0,94	1,15	1	0,54	0,25	0,09	0,06	0,04	0,05	0,22	0,23	0,75	1,36	1	0,44	0,25	0,13	0,08	0,04	0,06	0,09	0,07	0,22	0,949	0,942	0,828	0,54	0,274	0,086	0,057	0,025	0,028	0,05	0,048	0,277	0,669	1,655
Grenoble les Frenes	Volatil	m+p-Xylène	m+p-Xylène	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3,4	3	2,1	1,7	1,6	1,3	1,5	1,3	1,7	2,7	2	2,6	-	2,8	1,5	1,1	1,4	1,3	1,3	1,3	1,7	2,5	1,4	1,7	1,7	1,2	1	0,9	1,1	0,9	1	1,3	1,8	2,1	3,1	1,6	1,3	1,2	1,2	1,6	1,2	1,4	1,6	1,3	1,5	1,3	1	1,4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,1	0,7	0,9	0,9	0,8	0,8	0,9	0,9	1,2	1,3	1,2	2,53	1,43	0,68	1,31	0,63	0,71	0,94	-	5,57	1,43	1,49	1,41	1,18	1,2	1,4	0,96	0,9	0,89	0,91	1,04	0,77	0,85	1,17	2,3	2,66
Grenoble les Frenes	Métaux lourds	Manganèse	Manganèse	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22,7	23	10,6	8,5	7	6,1	9,1	5,5	-	-	10	6,5	11,9	13,8	5,3	4	5,9	5,4	4,5	4,8	8,6	11,1	15,6	5,7	7,7	9,5	6,2	6,8	4,5	6	6,7	3,7	7,6	9,2	7,3	14,6	12,5	10,1	7,3	8,3	6,7	4,3	5,1	6,8	7,4	9	13,3	8,3	10,9	12,2	10,2	5,3	4,4	8,7	7,7	8,2	8,4	11,5	12,8	6,5	8	7,8	8	5,3	4,1	6,8	5,1	4,8	6,4	7,9	8	14,9	9,74	9,38	8,91	8,9	5,93	9,55	5,33	4,42	8,79	10,21	10,59	8,54	8,84	10,44	7,8	6,73	6,94	7,23	7,88	4,82	6,8	8,08	14,69	17,79
Grenoble les Frenes	Métaux lourds	Mercure	Mercure	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	-	-	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,03	-	0,03	-	-	-	-
Grenoble les Frenes	En continu	Monoxyde d'azote	Monoxyde d'azote	microg/m3	31	28	9	4	2	1	1	2	5	16	36	41	46	20	10	5	2	1	1	2	6	17	27	23	42	18	8	4	2	1	1	2	4	13	30	40	39	28	7	4	2	2	1	2	5	14	17	33	35	26	7	3	2	1	1	1	6	11	17	21	23	9	4	2	1	1	0	1	3	7	24	18	24	10	10	3	1	1	0	1	4	8	14	24	21	21	12	6	4	4	4	4	5	8	35	28	24	8	6	2	2	2	1	1	6	14	26	17	19	12	7	4	2	2	1	1	5	12	18	43	31	9	7	4	1	1	1	2	5	11	34	29	26	10	6	3	3	2	1	2	3	14	33	74
Grenoble les Frenes	En différé, métaux lourds	Nickel	Nickel	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4,8	5,3	3,2	3,6	2,8	3,2	2,4	2,6	2,5	2,7	2,5	5,5	4,8	5,6	5,8	1,6	1,9	1,6	2,3	1,5	-	-	1,7	2	2,7	2,3	1,4	1,4	1,4	1,1	1	1,2	2	2,3	2,8	1,5	4,4	2,8	1,7	3,8	1,7	1,2	1,6	2	2,1	3,9	3,5	5,1	6	4,1	2,2	5,1	3,3	1,9	2,2	3,2	3,2	4,7	9	4,5	6,9	3,9	4,8	4,4	5,3	10,5	6,1	5,6	4,3	5,2	2,1	1,3	1,3	1,7	1,5	1,4	1	1,9	0,9	1	1,5	1,6	1,6	3	1,47	1,52	1,63	1,32	1,1	2,03	1,02	0,89	1,19	1,45	1,18	5,03	1,62	1,82	1,78	1,09	0,98	1,42	1,39	0,97	1,09	1,47	2,13	2,94
Grenoble les Frenes	Volatil	o-Xylene	o-Xylene	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,4	1,3	0,8	0,7	0,7	0,5	0,6	0,5	0,7	1,1	0,8	1	-	1,2	0,6	0,4	0,5	0,5	0,5	0,4	0,7	1	0,6	0,8	0,8	0,6	0,5	0,4	0,5	0,4	0,4	0,5	0,8	0,9	1,3	0,7	0,6	0,6	0,6	0,7	0,5	0,6	0,6	0,6	0,6	0,5	0,5	0,7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,6	0,3	0,4	0,4	0,4	0,3	0,4	0,4	0,5	0,6	0,6	1,05	0,61	0,29	0,59	0,3	0,34	0,41	-	2,4	0,67	0,64	0,63	0,57	0,54	0,62	0,45	0,48	0,48	0,47	0,53	0,38	0,4	0,56	0,99	1,11
Grenoble les Frenes	En continu	Ozone	Ozone	microg/m3	18	20	40	56	70	72	80	63	50	21	13	11	15	34	43	57	67	77	70	53	36	18	12	12	9	22	43	58	57	80	82	54	44	23	22	12	12	17	46	66	56	56	60	53	41	16	16	9	11	16	40	57	58	54	57	45	27	14	15	7	12	24	39	54	59	57	60	57	-	24	14	11	9	23	34	55	50	52	69	46	34	23	17	-	14	16	28	55	62	50	53	57	31	20	8	13	12	22	39	-	-	63	66	66	40	19	16	15	10	26	33	43	45	-	-	-	-	-	-	18	18	32	42	47	54	67	48	41	33	20	11	12	14	18	25	46	50	64	88	61	44	12	9	4
Grenoble les Frenes	En continu	Particules PM10	Particules PM10	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	37	28	30	20	16	16	20	21	33	30	43	36	47	17	16	20	21	20	18	24	32	28	33	50	33	31	29	30	25	23	24	30	31	34	30	36	33	31	24	18	21	24	18	20	26	22	33	41	-	37	22	19	17	17	23	22	24	42	26	30	45	30	16	17	22	21	25	24	24	27	25	32	34	30	25	13	21	24	22	19	17	21	33	23	14	28	21	13	21	16	16	22	22	26	23	25	25	29	16	15	16	23	18	15	25	29	37
Grenoble les Frenes	En continu	Particules PM2,5	Particules PM2.5	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	29	24	23	15	12	12	15	15	28	25	39	31	38	13	13	-	-	14	13	18	24	24	30	37	25	20	19	18	-	19	18	19	20	26	-	-	27	23	17	13	14	18	16	16	22	-	-	30	39	29	13	13	16	13	17	16	19	35	22	25	38	21	10	11	13	12	14	13	15	20	20	26	29	23	18	7	10	13	12	12	-	13	25	17	8	19	9	6	10	8	7	12	12	18	17	20	20	23	9	9	9	13	11	8	17	20	30
Grenoble les Frenes	En différé, métaux lourds	Plomb	Plomb	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27,3	16,4	9,8	10,4	7,7	9,4	9,8	7,5	9,5	14,5	15,3	20,7	27,3	27,1	8,3	8,2	5,7	5,5	6,7	6,7	-	-	7,2	7,1	11	9,3	4,9	5	4,3	4,6	2,7	4	12,1	8,5	11,9	7,5	9,1	11,9	8,4	7	8,1	5,7	8,8	5,6	13,3	10,5	9,8	12,7	14,9	19,7	10,4	7	4,4	3,2	4,1	3,6	4,8	9,6	18,3	11,5	8,5	14,1	7,5	5,4	3,6	7,3	4,1	4,8	6,9	13,3	16,6	7,8	13,8	10,2	8,2	6,2	5,7	4,7	3,9	3,2	5,7	4,9	7,5	13,3	8,6	6,45	8,24	5,59	3,14	5,32	3,58	3,25	5,26	5,97	6,67	5,79	9,26	8,3	5,82	4,46	4,19	3,55	3,43	3,27	5,51	5,75	9,41	11,86
Grenoble les Frenes	Métaux lourds	Thallium	Thallium	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	-	-	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,19	0,13	0,09	0,09	0,09	0,1	0,09	0,06	0,06	0,06	0,06	0,05	0,03	0,06	0,04	0,03	0,03	0,03	0,04	0,03	0,05	0,04	0,03
Grenoble les Frenes	Volatil	Toluène	Toluène	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6,3	5,9	3,9	4	2,9	2,9	3	3	3,5	5,5	4,3	5,9	-	5,9	2,7	2	2,4	2,3	2,7	2,4	3	4,3	2,8	3,6	3,8	2,5	2,3	2,1	2,6	2,4	2,2	2,5	3,5	3,1	5,5	3	2,9	3	2,4	2,9	2	2,3	2,3	2,3	2,6	2,8	2,4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2,5	2,1	2,1	1,9	1,3	1,4	2,4	1,6	2,3	6,8	58,1	31,2	2,96	1,62	3,32	1,36	1,01	1,56	-	1,42	1,91	2,14	3,07	2,47	2,27	2,12	1,78	1,45	1,46	1,48	1,46	1,35	1,56	2,5	3,35	3,4
Grenoble les Frenes	Métaux lourds	Vanadium	Vanadium	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3,4	2,9	1,5	0,9	3,9	3,3	1,1	0,8	-	-	0,7	1	2	1,8	0,9	1,2	1,6	1	1	1,1	1	1,3	1,8	0,9	2,8	2	1,7	1,2	0,8	1,3	1,6	0,7	1,2	1,5	0,7	2,6	3,9	3,2	1,3	1,5	1,2	0,8	1,1	1,8	1	1,3	1,4	1,4	2,3	1,9	1,6	0,9	1,1	1,5	1	1,7	1,2	1	0,8	0,8	0,9	0,9	0,6	0,5	0,4	1,1	0,5	0,6	0,7	0,6	0,6	1,2	0,58	0,5	0,96	1,18	0,74	1,3	0,43	0,4	0,62	0,65	0,39	0,56	0,4	0,64	0,68	0,73	0,77	0,83	0,99	0,71	0,52	0,46	0,64	1,23
Grenoble les Frenes	Métaux lourds	Zinc	Zinc	nanog/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	134,2	102,2	36,4	79,1	51,6	79,3	62,6	27,3	45,6	69,6	93,4	164	130,4	111	49,9	63,4	29,6	25,9	38,5	29,8	-	-	44,1	37,2	42,4	53,6	25,3	32,3	19,5	33,6	14,6	17,7	48,8	55,8	79,4	37,1	51,7	56,3	31,6	32,9	22,3	38,8	47,8	20,9	40	42,8	37	61,2	50,8	49,4	33,5	30,8	26,8	21,4	24,3	18,4	30,2	46,3	65	66,4	65,5	76	51,3	29,6	30	33,5	30,5	30,9	40	51,4	51,3	34,6	42,7	46,7	40,1	30,3	20,9	42,1	28,9	24,1	38,7	55,4	40,6	85,2	47,09	46,23	36,98	25,64	20,41	29,72	24,07	24,74	27,88	36,15	43,6	39,84	46,22	42,49	39,47	24,14	25,1	23,79	24,68	19,84	26,72	32,3	51,5	65,89
Grenoble Grands Boulevards	En continu	Dioxyde d'azote	Dioxyde d'azote	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	66	57	54	45	47	42	37	47	50	52	65	67	71	57	48	49	49	47	40	52	60	57	63	67	62	60	52	47	48	50	45	50	58	64	63	71	69	58	53	47	50	51	44	55	56	54	66	63	69	61	49	46	41	43	43	58	61	-	62	-	-	-	-	-	45	41	44	49	52	54	64	59	61	52	43	42	51	48	37	51	46	49	-	52	51	52	45	38	45	40	38	44	51	57	56	55	57	52	45	43	43	-	-	43	49	60	73
Grenoble Grands Boulevards	En continu	Monoxyde d'azote	Monoxyde d'azote	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	75	36	24	24	26	22	19	36	53	63	91	87	71	32	23	24	24	20	18	40	57	62	67	63	41	33	25	19	20	17	13	31	52	78	62	70	47	35	25	28	25	21	20	34	47	55	67	61	61	36	22	18	20	20	14	42	64	-	73	-	-	-	-	-	33	21	19	37	62	80	73	66	52	41	35	32	33	18	15	34	52	61	100	76	51	31	27	19	19	21	20	34	50	89	85	75	55	37	24	28	22	-	-	36	63	98	183
Grenoble Grands Boulevards	En continu	Particules PM10	Particules PM10	microg/m3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	42	47	33	30	27	32	34	54	50	62	61	74	32	30	35	32	30	25	47	49	44	38	56	38	36	33	30	25	26	24	35	36	46	34	44	42	39	31	27	-	-	-	-	-	-	-	47	54	42	31	28	21	20	25	-	-	-	-	-	51	38	21	23	27	22	25	31	33	36	31	38	43	35	27	15	24	27	25	25	27	28	43	29	21	33	29	21	29	22	21	34	31	33	28	30	30	31	20	23	20	-	-	22	30	35	44
