Station;Typologie;Influence;Latitude;Longitude
Grenoble Grands Boulevards;Urbaine;Trafic;45.18075;5.72006
Grenoble les Frenes;Urbaine;Fond;45.16223;5.73567
Grenoble Rocade Sud;Périurbaine;Trafic;45.15843;5.70376
Saint-Martin d'Heres;Urbaine;Fond;45.18303;5.75325
