"Date";"Temp max extreme";"Temp max moyenne";"Temp moyenne";"Temp mini moyenne";"Temp mini extreme";"Temp maxi minimale";"Temp mini maximale";"DJU chauffagiste";"DJU climaticien";"Ensoleillement (h)";"Precipitations cumul";"Precipitation max en 1j";"Precipitation max en 5j";"Precipitation moyenne";"Neige au sol max";"Rafale maximale";"Pression min";"Pression max"
"05/2006";"27.8";"20.4";"14.1";"8.2";"-0.2";"11.7";"13.0";"139.9";"25";"225.2";"74.2";"34.0";"49.4";"7.3";"0";"68.3";"1005.8";"1028.5"
"06/2006";"31.1";"26.5";"18.8";"11.3";"2.4";"14.6";"17.7";"71.3";"97.4";"327.8";"24.8";"11.6";"22.2";"7.5";"0";"66.5";"1007.7";"1025.9"
"07/2006";"35.8";"31.1";"23.9";"16.8";"13.1";"24.0";"20.7";"7.2";"335.4";"320.3";"55.0";"23.2";"39.4";"10.7";"0";"57.6";"1009.2";"1024.1"
"08/2006";"27.9";"22.6";"17.3";"12.0";"6.0";"15.3";"17.0";"66.8";"45";"215.6";"91.0";"18.8";"35.6";"7.5";"0";"87.0";"1001.8";"1026.5"
"09/2006";"29.6";"24.1";"18.7";"13.5";"7.5";"15.3";"17.4";"42.7";"66";"193.6";"84.4";"43.0";"67.4";"13.9";"0";"57.4";"1001.2";"1026.0"
"10/2006";"24.2";"20.0";"14.8";"10.0";"4.0";"15.8";"16.3";"110.6";"17.7";"155.8";"68.6";"16.0";"29.6";"11.0";"0";"90.7";"1000.0";"1029.0"
"11/2006";"20.1";"14.0";"8.7";"3.9";"-5.1";"8.1";"14.9";"273.7";"1";"138.5";"85.8";"41.6";"71.2";"14.0";"0";"66.5";"1003.5";"1035.0"
"12/2006";"16.4";"8.0";"3.6";"-0.4";"-7.8";"-1.0";"10.7";"441.7";"N/A";"119";"43.4";"31.0";"35.6";"8.0";"0";"79.5";"999.4";"1038.5"
"01/2007";"15.8";"8.0";"4.1";"0.7";"-11.0";"-4.0";"7.4";"423.4";"N/A";"75.7";"46.8";"15.6";"20.2";"6.5";"15,0";"90.7";"996.2";"1037.2"
"02/2007";"16.9";"10.4";"6.0";"1.8";"-4.2";"2.9";"7.3";"334.8";"N/A";"94.8";"73.0";"14.0";"42.0";"6.4";"0";"64.8";"999.9";"1032.9"
"03/2007";"18.9";"11.9";"7.0";"1.8";"-2.2";"2.3";"9.4";"345.6";"0.1";"175.5";"60.4";"8.2";"20.0";"4.0";"3,0";"75.9";"995.4";"1035.2"
"04/2007";"27.5";"20.8";"13.8";"6.4";"-0.9";"10.4";"12.0";"155.8";"23.6";"264.5";"15.6";"6.4";"12.6";"3.7";"0";"53.5";"1006.3";"1024.7"
"05/2007";"29.7";"20.1";"14.9";"9.8";"2.3";"12.1";"14.9";"126.7";"30.8";"183.5";"215.0";"44.0";"76.8";"14.2";"0";"57.6";"999.1";"1024.6"
"06/2007";"31.1";"23.6";"18.1";"12.4";"6.2";"14.8";"16.6";"55.9";"55.7";"178.5";"72.6";"15.2";"30.4";"6.4";"0";"53.5";"1005.0";"1020.3"
"07/2007";"30.7";"24.6";"18.9";"13.1";"7.3";"15.4";"17.0";"47.6";"74.1";"254.2";"56.0";"10.0";"26.8";"6.2";"0";"79.5";"1001.2";"1022.7"
"08/2007";"31.0";"23.5";"18.4";"13.0";"8.2";"15.8";"17.7";"53.1";"61.2";"203";"76.8";"20.4";"25.4";"7.4";"0";"75.9";"1004.1";"1026.9"
"09/2007";"27.1";"20.3";"14.6";"8.9";"3.3";"10.3";"13.4";"125.6";"23.7";"225.2";"74.4";"27.0";"56.6";"10.5";"0";"61.1";"1006.2";"1027.3"
"10/2007";"22.9";"15.4";"10.8";"6.6";"-3.6";"7.5";"15.5";"224.5";"7.5";"154";"18.8";"4.2";"9.2";"3.1";"0";"57.6";"1013.5";"1030.2"
"11/2007";"16.0";"8.0";"4.0";"0.7";"-7.9";"0.3";"8.7";"400.7";"N/A";"100.1";"77.6";"47.6";"61.6";"9.4";"1,0";"61.1";"1006.4";"1032.1"
"12/2007";"12.2";"5.7";"2.0";"-1.4";"-9.1";"-0.5";"7.3";"492";"N/A";"118.3";"59.2";"11.2";"38.8";"6.2";"0";"75.9";"1003.3";"1038.1"
"01/2008";"15.4";"8.6";"4.5";"0.5";"-6.1";"1.5";"8.0";"418";"N/A";"111.2";"70.8";"18.6";"32.0";"5.2";"3,0";"83.5";"999.5";"1041.0"
"02/2008";"15.7";"11.5";"5.8";"0.3";"-5.7";"5.1";"8.3";"352.2";"N/A";"177.1";"16.8";"9.6";"13.4";"5.1";"0";"64.8";"1004.5";"1040.1"
"03/2008";"18.4";"10.3";"5.6";"1.3";"-6.0";"2.9";"7.6";"377.4";"N/A";"135.2";"65.6";"12.0";"28.6";"4.6";"11,0";"87.0";"991.9";"1025.7"
"04/2008";"21.7";"14.9";"9.6";"4.6";"-4.0";"7.2";"10.0";"250.1";"1.2";"174.9";"89.2";"20.0";"41.0";"7.9";"0";"68.3";"990.7";"1030.5"
"05/2008";"25.7";"21.3";"15.5";"9.9";"2.9";"15.6";"14.9";"102.6";"27.7";"203.8";"93.0";"17.8";"47.4";"7.7";"0";"103.5";"1001.6";"1023.7"
"06/2008";"30.6";"23.2";"17.8";"12.5";"5.7";"12.3";"18.9";"68.4";"82.1";"224.7";"61.8";"24.0";"40.8";"6.7";"0";"61.1";"1007.0";"1022.5"
"07/2008";"31.8";"25.8";"19.5";"13.0";"7.9";"19.3";"17.8";"43.8";"87.7";"283.5";"120.4";"49.4";"96.0";"14.8";"0";"83.5";"1007.4";"1028.9"
"08/2008";"29.9";"24.4";"18.7";"13.0";"6.5";"17.6";"17.8";"48.3";"69.4";"247.6";"86.6";"52.0";"64.0";"11.9";"0";"53.7";"1002.9";"1022.8"
"09/2008";"27.1";"18.9";"14.1";"9.0";"2.2";"11.9";"18.0";"144.7";"39.6";"157.7";"178.0";"56.8";"135.0";"21.9";"0";"87.0";"1002.9";"1028.2"
"10/2008";"23.2";"15.9";"11.4";"7.0";"0.4";"5.1";"12.4";"210.2";"6.9";"131.8";"106.4";"31.8";"64.4";"9.3";"0";"42.4";"997.4";"1033.8"
"11/2008";"19.6";"9.8";"6.2";"2.9";"-6.7";"1.2";"7.9";"350";"0.3";"58";"57.8";"22.4";"23.4";"6.9";"1,0";"61.1";"988.7";"1031.2"
"12/2008";"10.5";"4.7";"1.9";"-0.8";"-9.8";"-0.6";"5.4";"498.9";"N/A";"52";"45.6";"21.0";"25.4";"4.8";"16,0";"68.3";"993.3";"1037.4"
"01/2009";"11.3";"4.0";"0.3";"-3.1";"-10.0";"-4.0";"3.6";"546.2";"N/A";"107.9";"52.0";"19.6";"39.4";"10.3";"10,0";"72.2";"981.7";"1034.6"
"02/2009";"15.1";"6.4";"2.3";"-1.3";"-7.6";"0.8";"5.8";"434";"N/A";"102.6";"62.8";"24.2";"46.2";"7.7";"6,0";"64.8";"989.6";"1031.8"
"03/2009";"19.5";"11.3";"6.0";"0.8";"-5.7";"2.4";"8.2";"372.2";"0.2";"176.4";"62.2";"19.2";"35.2";"6.1";"1,0";"72.2";"986.9";"1031.3"
"04/2009";"21.4";"17.2";"11.5";"5.6";"1.0";"12.0";"12.0";"200.3";"2.7";"152.4";"38.6";"15.2";"21.6";"4.6";"0";"59.4";"1004.5";"1022.6"
"05/2009";"31.3";"22.9";"16.2";"9.7";"2.1";"13.7";"15.4";"100.8";"46.7";"256.9";"49.8";"26.6";"38.2";"9.8";"0";"57.6";"1006.7";"1029.1"
"06/2009";"30.7";"24.2";"17.8";"11.4";"7.2";"19.4";"17.3";"65.8";"60.1";"273.5";"45.4";"18.4";"33.8";"4.8";"0";"63.0";"1000.4";"1024.2"
"07/2009";"34.5";"27.7";"20.8";"13.8";"8.1";"19.5";"20.3";"36.1";"174.7";"302.9";"41.8";"21.6";"26.4";"6.8";"0";"77.8";"1005.3";"1025.0"
"08/2009";"37.0";"29.2";"21.9";"14.2";"7.4";"20.6";"17.9";"27.4";"142";"297";"50.2";"20.0";"35.6";"12.0";"0";"64.8";"1006.5";"1022.2"
"09/2009";"28.4";"22.4";"16.7";"11.3";"4.7";"14.9";"19.5";"78.3";"78.6";"172";"42.6";"19.0";"32.4";"8.0";"0";"57.6";"1008.6";"1026.6"
"10/2009";"25.2";"17.1";"11.2";"5.8";"-4.1";"7.5";"15.7";"214.2";"9.7";"192";"68.4";"24.8";"39.2";"7.6";"0";"74.1";"997.0";"1028.3"
"11/2009";"19.0";"13.0";"8.6";"5.0";"-2.5";"6.2";"11.3";"272";"0.1";"82.2";"101.0";"33.8";"49.0";"9.8";"0";"79.5";"997.0";"1029.4"
"12/2009";"15.5";"6.1";"3.1";"-0.2";"-17.7";"-5.5";"6.9";"468.4";"N/A";"50.3";"81.8";"24.6";"35.8";"6.8";"8,0";"74.1";"982.7";"1029.8"
"01/2010";"8.2";"2.3";"-0.8";"-3.4";"-15.2";"-4.8";"2.6";"576.7";"N/A";"70.1";"59.6";"10.0";"19.4";"4.2";"22,0";"48.2";"988.7";"1029.9"
"02/2010";"14.9";"6.5";"2.5";"-0.9";"-9.0";"-4.0";"8.5";"426.4";"N/A";"83.3";"80.8";"20.6";"36.0";"5.7";"6,0";"63.0";"991.6";"1025.9"
"03/2010";"19.2";"10.3";"5.6";"1.0";"-11.2";"-1.6";"10.3";"383.4";"0.3";"172.9";"89.7";"30.7";"51.2";"9.8";"14,0";"66.5";"998.2";"1031.2"
"04/2010";"24.6";"17.1";"10.4";"4.0";"-2.1";"8.9";"11.9";"231.9";"8.7";"235.9";"55.2";"28.1";"53.0";"13.5";"0";"63.0";"1006.5";"1029.1"
"05/2010";"27.8";"17.1";"12.3";"7.6";"3.7";"7.0";"13.2";"187.9";"13.8";"164.4";"154.4";"31.3";"64.2";"11.0";"0";"68.3";"1003.6";"1027.8"
"06/2010";"29.8";"23.2";"17.4";"11.5";"5.1";"13.5";"15.6";"72.6";"53.2";"221.6";"92.1";"31.5";"77.7";"11.4";"0";"77.8";"1000.7";"1021.1"
"07/2010";"33.6";"28.5";"21.6";"14.8";"8.6";"21.7";"20.0";"25.5";"210.7";"337.9";"21.3";"12.7";"13.3";"9.6";"0";"63.0";"1005.2";"1025.3"
"08/2010";"35.0";"25.5";"19.2";"13.4";"6.1";"18.1";"19.5";"47.8";"164.3";"244.5";"59.5";"15.8";"26.6";"7.3";"0";"63.0";"1007.6";"1024.4"
"09/2010";"29.2";"21.2";"14.8";"8.5";"0.6";"12.9";"16.1";"125.5";"30.4";"220.9";"97.7";"57.9";"60.1";"13.9";"0";"53.5";"1002.3";"1027.7"
"10/2010";"26.7";"15.2";"10.7";"6.4";"-3.2";"7.0";"12.5";"233.4";"10.1";"127.4";"75.1";"26.7";"29.3";"10.5";"0";"85.2";"995.3";"1028.8"
"11/2010";"19.3";"9.9";"6.5";"3.3";"-6.7";"0.5";"11.5";"342.5";"0.4";"65.2";"108.2";"40.5";"50.7";"9.6";"3,0";"63.0";"980.5";"1031.2"
"12/2010";"17.1";"3.7";"0.3";"-3.4";"-14.4";"-4.0";"7.2";"554";"N/A";"74.7";"35.2";"11.2";"16.6";"3.1";"25,0";"63.0";"993.4";"1036.0"
"01/2011";"15.2";"5.8";"2.5";"-0.9";"-10.9";"-1.6";"7.2";"378";"N/A";"82.8";"45.1";"23.9";"41.9";"8.9";"1,0";"55.6";"1008.0";"1030.4"
"02/2011";"16.6";"8.8";"4.2";"-0.3";"-6.1";"-2.0";"5.0";"387";"N/A";"101.4";"47.9";"19.5";"22.7";"6.0";"0";"51.9";"996.4";"1037.0"
"03/2011";"20.2";"12.8";"7.5";"2.2";"-3.8";"3.9";"8.6";"130.1";"N/A";"188";"69.5";"28.3";"38.5";"6.9";"0";"59.3";"1000.6";"1035.4"
"04/2011";"26.2";"19.7";"12.6";"5.6";"-1.7";"13.8";"10.6";"N/A";"N/A";"290.9";"15.8";"5.6";"7.0";"3.1";"0";"53.7";"1001.0";"1029.7"
"05/2011";"28.9";"23.5";"16.3";"9.1";"1.5";"15.1";"13.7";"N/A";"N/A";"309.5";"26.6";"23.6";"26.0";"12.9";"0";"61.1";"1000.3";"1028.3"
"06/2011";"32.4";"22.8";"17.3";"11.8";"6.5";"11.1";"16.9";"N/A";"N/A";"227.7";"118.4";"23.1";"52.8";"10.7";"0";"72.2";"1004.4";"1026.7"
"07/2011";"29.7";"23.4";"17.5";"11.5";"6.5";"17.5";"15.7";"20.4";"11.1";"255.9";"163.3";"52.5";"101.1";"20.0";"0";"63.0";"1003.9";"1021.8"
"08/2011";"34.8";"27.4";"20.2";"12.9";"7.0";"19.6";"19.6";"55.9";"99";"293.4";"59.3";"30.0";"30.4";"14.4";"0";"74.1";"1006.0";"1027.5"
"09/2011";"29.1";"23.7";"17.8";"11.9";"6.5";"14.6";"18.2";"86.5";"39.2";"238.7";"53.2";"19.4";"36.6";"10.2";"0";"75.9";"1008.8";"1027.6"
"10/2011";"26.7";"17.6";"12.3";"7.1";"-1.1";"10.0";"13.9";"187.6";"11";"171.5";"72.4";"29.9";"33.9";"8.9";"0";"68.5";"999.9";"1027.5"
"11/2011";"20.9";"13.6";"9.0";"4.4";"-1.8";"6.4";"16.6";"272.6";"1.8";"148.1";"60.3";"37.9";"56.7";"9.9";"0";"70.4";"998.6";"1035.1"
"12/2011";"15.7";"8.2";"4.3";"0.3";"-7.9";"1.7";"6.3";"426.3";"N/A";"75.7";"121.9";"24.4";"39.6";"5.8";"6,0";"85.2";"994.8";"1041.1"
"01/2012";"12.1";"6.4";"2.9";"-0.7";"-7.6";"-0.5";"4.9";"470.5";"N/A";"84.4";"69.8";"22.1";"34.9";"7.4";"7,0";"79.6";"1011.6";"1037.8"
"02/2012";"14.1";"1.7";"-2.4";"-6.4";"-19.4";"-7.0";"5.5";"590.9";"N/A";"151.3";"4.4";"4.4";"4.4";"4.4";"6,0";"53.7";"1016.4";"1034.9"
"03/2012";"22.0";"15.8";"8.8";"1.8";"-3.9";"6.3";"7.2";"289.8";"3.1";"266.6";"33.1";"18.5";"19.5";"8.0";"0";"70.4";"1008.8";"1038.1"
"04/2012";"26.9";"14.9";"10.1";"5.2";"-2.8";"4.8";"12.0";"243.7";"4.7";"123.9";"112.2";"18.9";"39.5";"6.5";"0";"83.3";"994.5";"1017.9"
"05/2012";"28.7";"20.7";"14.8";"8.8";"-0.7";"12.9";"15.2";"130.1";"29.4";"234.2";"93.9";"23.5";"56.2";"9.1";"0";"57.4";"1002.0";"1029.6"
"06/2012";"31.6";"24.2";"18.6";"12.9";"6.7";"16.6";"16.8";"50.8";"68.6";"256.1";"71.9";"27.7";"39.7";"8.6";"0";"63.0";"1003.0";"1025.4"
"07/2012";"33.3";"25.9";"19.4";"13.0";"7.2";"16.1";"17.0";"45.2";"89.4";"287.2";"45.3";"20.7";"37.1";"6.0";"0";"72.2";"1006.5";"1029.9"
"08/2012";"36.1";"28.3";"21.2";"14.1";"7.4";"16.1";"19.5";"31.8";"167.3";"284.9";"68.5";"13.9";"30.7";"6.7";"0";"63.0";"1005.3";"1024.1"
"09/2012";"29.2";"21.2";"16.0";"10.8";"3.3";"13.5";"15.7";"92.7";"33.1";"163.3";"99.2";"52.0";"67.7";"9.9";"0,0";"74.1";"999.8";"1024.9"
"10/2012";"24.0";"17.3";"12.7";"8.1";"-3.4";"3.0";"15.1";"176.8";"12.3";"116.1";"66.7";"15.9";"34.0";"6.4";"1,0";"85.2";"990.5";"1021.4"
"11/2012";"18.0";"11.9";"8.0";"4.0";"-0.3";"2.8";"9.8";"302.2";"N/A";"88.9";"211.9";"66.3";"131.5";"21.2";"0,0";"72.2";"993.6";"1032.3"
"12/2012";"13.8";"7.0";"3.4";"-0.3";"-11.4";"-1.1";"9.5";"454.2";"N/A";"72.3";"57.8";"10.8";"21.8";"4.1";"10,0";"61.1";"1003.0";"1032.2"
"01/2013";"14.0";"4.6";"1.5";"-1.5";"-13.8";"-4.2";"5.5";"511.4";"N/A";"68.7";"61.3";"14.5";"19.0";"6.7";"10,0";"51.9";"985.5";"1042.3"
"02/2013";"12.7";"3.4";"0.2";"-3.1";"-9.7";"-2.7";"4.2";"499.6";"N/A";"96.6";"44.1";"12.5";"29.3";"4.7";"16,0";"77.8";"996.3";"1028.5"
"03/2013";"16.9";"10.2";"5.9";"1.7";"-7.7";"1.9";"8.3";"374.7";"N/A";"132.8";"120.5";"24.5";"56.9";"8.6";"2,0";"70.4";"995.7";"1022.8"
"04/2013";"25.2";"15.2";"9.8";"4.5";"-3.8";"7.1";"10.7";"255.2";"8.7";"145.1";"103.1";"23.1";"58.4";"8.5";"1,0";"74.1";"999.6";"1028.5"
"05/2013";"23.1";"15.8";"11.3";"6.8";"1.0";"9.0";"13.4";"212.8";"4.6";"138.2";"170.5";"45.6";"50.8";"9.4";"0,0";"64.8";"999.6";"1024.4"
"06/2013";"31.5";"22.5";"16.7";"10.9";"5.5";"15.4";"16.3";"83.7";"38.2";"255";"40.4";"17.8";"25.2";"7.7";"0,0";"74.1";"1008.7";"1026.7"
"07/2013";"33.9";"27.8";"21.3";"14.5";"7.6";"17.6";"18.6";"23.4";"141.7";"320.9";"94.6";"57.0";"57.2";"18.5";"0,0";"61.1";"1005.8";"1047.4"
"08/2013";"31.1";"25.8";"19.5";"13.2";"7.7";"19.8";"18.0";"43.1";"106.5";"309.1";"49.7";"22.9";"30.7";"11.9";"0,0";"64.8";"1009.4";"1024.8"
"09/2013";"30.3";"21.9";"16.5";"11.0";"5.9";"15.7";"16.1";"82.7";"37.1";"204";"74.4";"24.5";"30.5";"8.9";"0,0";"51.9";"1003.7";"1028.2"
"10/2013";"24.8";"17.8";"13.9";"10.1";"0.8";"9.2";"15.2";"138.8";"12.7";"105.3";"178.9";"55.5";"88.5";"19.4";"0,0";"61.1";"1006.6";"1026.7"
"11/2013";"18.7";"7.9";"4.9";"1.9";"-7.7";"0.3";"13.2";"394.8";"0.1";"68.7";"123.4";"24.5";"48.8";"9.3";"0,0";"66.7";"998.9";"1034.8"
"12/2013";"15.6";"9.0";"4.4";"-0.2";"-6.4";"0.7";"6.9";"423.4";"N/A";"139.6";"78.3";"33.6";"49.9";"12.8";"0,0";"103.7";"992.3";"1037.5"
"01/2014";"14.2";"8.5";"5.1";"1.7";"-4.7";"3.2";"8.7";"400.4";"N/A";"76.4";"140.5";"33.2";"49.8";"10.5";"0,0";"70.4";"995.7";"1026.3"
"02/2014";"16.1";"9.8";"5.4";"1.1";"-2.6";"4.0";"4.6";"352.7";"N/A";"95.3";"151.7";"24.1";"56.2";"10.7";"0,0";"74.1";"988.6";"1025.8"
"03/2014";"22.2";"14.1";"8.0";"1.8";"-2.2";"7.1";"9.8";"313.1";"0.8";"206.6";"39.1";"23.7";"32.1";"6.5";"0,0";"70.4";"995.5";"1031.0"
"04/2014";"23.8";"17.0";"11.3";"5.7";"-1.4";"11.2";"10.6";"204.2";"3.9";"198.5";"51.7";"11.4";"19.0";"6.3";"0,0";"59.3";"1002.4";"1027.3"
"05/2014";"27.4";"19.2";"13.2";"7.3";"2.0";"10.3";"11.8";"162.6";"14.6";"213.9";"100.3";"35.2";"41.5";"10.8";"0,0";"66.7";"1004.4";"1029.9"
"06/2014";"32.8";"25.7";"18.9";"12.1";"5.7";"17.4";"17.0";"55.2";"81.1";"289.1";"13.0";"6.8";"7.0";"5.8";"0,0";"68.5";"1008.2";"1023.4"
"07/2014";"32.1";"23.7";"18.7";"13.8";"8.5";"14.5";"17.4";"45.4";"68.1";"185.8";"195.0";"33.7";"48.8";"11.4";"0,0";"66.7";"1008.1";"1023.6"
"08/2014";"29.0";"23.5";"18.1";"12.6";"6.7";"19.5";"18.3";"53.8";"73.4";"221.1";"31.6";"7.8";"12.4";"4.1";"0,0";"75.9";"1005.7";"1022.9"
"09/2014";"29.2";"22.9";"16.9";"10.9";"4.8";"15.8";"15.8";"78.6";"45.4";"198.8";"71.4";"31.6";"59.4";"9.9";"0,0";"46.3";"1008.8";"1026.9"
"10/2014";"25.9";"20.1";"14.7";"9.4";"1.5";"9.8";"15.1";"125.4";"23.4";"181.4";"87.5";"30.7";"79.5";"14.0";"0,0";"59.3";"1006.0";"1029.2"
"11/2014";"19.6";"13.9";"9.8";"5.6";"-1.2";"7.0";"10.1";"248.3";"0.7";"102.7";"163.3";"75.2";"79.8";"15.9";"0,0";"75.9";"994.5";"1025.7"
"12/2014";"14.0";"6.6";"3.8";"0.9";"-6.5";"-1.9";"5.4";"441.7";"N/A";"56";"30.3";"17.3";"21.5";"6.8";"0,0";"63.0";"1004.6";"1038.8"
"01/2015";"17.3";"7.0";"3.2";"-0.5";"-5.3";"1.1";"6.5";"459";"N/A";"98.7";"102.1";"49.4";"70.7";"10.1";"6,0";"70.4";"984.8";"1040.8"
"02/2015";"11.8";"5.3";"1.9";"-1.5";"-9.2";"-2.1";"5.1";"451.4";"N/A";"88.6";"67.8";"33.1";"38.7";"8.3";"4,0";"63.0";"994.8";"1038.1"
"03/2015";"17.4";"12.4";"7.2";"1.9";"-4.1";"4.3";"9.5";"336.8";"N/A";"156.5";"61.7";"15.5";"26.0";"6.5";"1,0";"77.8";"1004.4";"1036.3"
"04/2015";"24.0";"17.4";"10.9";"4.4";"-2.5";"8.8";"11.8";"221.9";"8.3";"218.8";"48.9";"14.1";"17.5";"5.4";"1,0";"53.7";"1000.3";"1033.8"
"05/2015";"28.0";"20.6";"15.1";"9.4";"4.1";"11.0";"15.5";"118.3";"26.9";"234.7";"65.6";"20.9";"31.1";"9.3";"166,0";"72.2";"1004.9";"1028.2"
"06/2015";"31.9";"25.8";"19.4";"13.1";"7.5";"20.9";"17.5";"39.8";"82.4";"302";"87.3";"32.1";"68.2";"10.7";"167,0";"70.4";"1008.7";"1026.4"
"07/2015";"35.5";"29.8";"22.9";"15.9";"6.8";"21.9";"21.3";"18.5";"169.2";"340";"24.3";"9.4";"12.6";"4.9";"0,0";"90.7";"1004.3";"1024.1"
